,K2_value,Initial_population_list,optimum_C_value
959,2.75,6750,0.3
960,3.0,6750,0.2
961,3.25,6750,0.2
962,3.5,6750,0.2
963,3.75,6750,0.2
964,4.0,6750,0.1
965,4.25,6750,0.1
966,4.5,6750,0.1
967,4.75,6750,0.1
968,5.0,6750,0.1
969,5.25,6750,0.1
970,5.5,6750,0.1
971,5.75,6750,0.1
972,6.0,6750,0.1
973,6.25,6750,0.1
974,6.5,6750,0.1
975,6.75,6750,0.0
976,7.0,6750,0.0
977,7.25,6750,0.05
978,7.5,6750,0.0
979,7.75,6750,0.0
980,8.0,6750,0.05
981,8.25,6750,0.0
982,8.5,6750,0.0
983,8.75,6750,0.0
984,9.0,6750,0.0
985,9.25,6750,0.0
986,9.5,6750,0.0
987,9.75,6750,0.0
988,0.5,7000,1.85
989,0.75,7000,1.2
990,1.0,7000,0.9
991,1.25,7000,0.7
992,1.5,7000,0.6
993,1.75,7000,0.5
994,2.0,7000,0.4
995,2.25,7000,0.3
996,2.5,7000,0.3
997,2.75,7000,0.3
998,3.0,7000,0.2
999,3.25,7000,0.2
1000,3.5,7000,0.2
1001,3.75,7000,0.2
1002,4.0,7000,0.1
1003,4.25,7000,0.1
1004,4.5,7000,0.1
1005,4.75,7000,0.1
1006,5.0,7000,0.1
1007,5.25,7000,0.1
1008,5.5,7000,0.1
1009,5.75,7000,0.1
1010,6.0,7000,0.1
1011,6.25,7000,0.1
1012,6.5,7000,0.1
1013,6.75,7000,0.05
1014,7.0,7000,0.05
1015,7.25,7000,0.05
1016,7.5,7000,0.05
1017,7.75,7000,0.05
1018,8.0,7000,0.0
1019,8.25,7000,0.0
1020,8.5,7000,0.0
1021,8.75,7000,0.0
1022,9.0,7000,0.0
1023,9.25,7000,0.0
1024,9.5,7000,0.0
1025,9.75,7000,0.0
1026,0.5,7250,1.85
1027,0.75,7250,1.2
1028,1.0,7250,0.9
1029,1.25,7250,0.7
1030,1.5,7250,0.6
1031,1.75,7250,0.5
1032,2.0,7250,0.4
1033,2.25,7250,0.3
1034,2.5,7250,0.3
1035,2.75,7250,0.3
1036,3.0,7250,0.2
1037,3.25,7250,0.2
1038,3.5,7250,0.2
1039,3.75,7250,0.2
1040,4.0,7250,0.15
1041,4.25,7250,0.1
1042,4.5,7250,0.1
1043,4.75,7250,0.1
1044,5.0,7250,0.1
1045,5.25,7250,0.1
1046,5.5,7250,0.1
1047,5.75,7250,0.1
1048,6.0,7250,0.1
1049,6.25,7250,0.1
1050,6.5,7250,0.1
1051,6.75,7250,0.05
1052,7.0,7250,0.05
1053,7.25,7250,0.05
